Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Team,GameID
Johnny Furphy,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,202410230DET
Myles Turner,36:03,7,14,.500,3,8,.375,3,3,1.000,0,9,9,4,0,4,4,4,20,15.7,+20,.653,.607,.571,.214,0.0,27.2,15.6,16.3,0.0,9.7,20.7,23.6,105,107,1.9,IND,202410230DET
Obi Toppin,16:02,1,2,.500,0,1,.000,0,0,,0,1,1,2,1,0,0,3,2,2.5,-9,.500,.500,.500,.000,0.0,6.8,3.9,15.4,3.0,0.0,0.0,5.5,132,113,-3.9,IND,202410230DET
Pascal Siakam,31:58,8,15,.533,1,3,.333,2,3,.667,3,5,8,9,2,0,0,0,19,23.2,+15,.582,.567,.200,.200,13.7,17.1,15.6,45.1,3.0,0.0,0.0,22.5,141,110,12.5,IND,202410230DET
Quenton Jackson,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,202410230DET
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,IND,202410230DET
T.J. McConnell,15:48,7,8,.875,0,0,,0,0,,0,2,2,4,1,0,1,0,14,14.6,-11,.875,.875,.000,.000,0.0,13.8,7.9,58.6,3.1,0.0,11.1,25.1,152,111,15.0,IND,202410230DET
Team Totals,240,42,83,.506,9,31,.290,22,25,.880,7,32,39,32,10,8,15,23,115,,,.612,.560,.373,.301,21.2,72.7,50.6,76.2,10.1,14.5,13.8,100.0,116.6,110.5,,IND,202410230DET
Tyrese Haliburton,34:58,6,18,.333,1,9,.111,2,2,1.000,1,4,5,4,3,2,3,2,15,10.1,+15,.397,.361,.500,.111,4.2,12.5,8.9,16.3,4.2,5.0,13.7,27.6,82,106,-5.4,IND,202410230DET
Alondes Williams,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,202410230DET
Cade Cunningham,36:32,10,23,.435,2,6,.333,6,6,1.000,0,5,5,8,1,0,2,2,28,21.2,-10,.546,.478,.261,.261,0.0,19.9,8.5,42.3,1.3,0.0,7.2,31.8,119,117,6.0,DET,202410230DET
Cole Swider,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,202410230DET
Daniss Jenkins,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,202410230DET
Isaiah Stewart,16:59,1,2,.500,0,1,.000,0,0,,1,3,4,2,1,1,2,2,2,2.9,+5,.500,.500,.500,.000,6.4,25.7,14.7,16.1,2.9,5.4,50.0,9.9,77,109,-1.8,DET,202410230DET
Jaden Ivey,30:36,5,13,.385,0,2,.000,7,9,.778,4,1,5,4,1,0,1,3,17,13.8,-1,.501,.385,.154,.692,14.3,4.8,10.2,20.8,1.6,0.0,5.6,24.6,120,119,0.9,DET,202410230DET
