Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Team,GameID
Ryan Dunn,21:16,2,8,.250,1,4,.250,0,0,,4,2,6,1,0,0,1,2,5,2.5,-2,.313,.313,.500,.000,19.6,12.2,16.3,7.4,0.0,0.0,11.1,19.0,89,127,-10.7,PHO,202411180PHO
Team Totals,240,35,83,.422,12,41,.293,17,25,.680,16,29,45,25,5,2,13,21,99,,,.527,.494,.494,.301,34.8,78.4,54.2,71.4,5.7,4.3,12.1,100.0,112.1,123.5,,PHO,202411180PHO
TyTy Washington Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHO,202411180PHO
Tyus Jones,32:19,7,17,.412,4,11,.364,0,0,,1,1,2,8,0,0,0,1,18,15.1,+2,.529,.529,.647,.000,3.2,4.0,3.6,48.3,0.0,0.0,0.0,23.6,136,129,6.1,PHO,202411180PHO
Bogdan Bogdanović,18:24,2,7,.286,2,6,.333,0,0,,0,3,3,3,0,0,0,1,6,4.5,-9,.429,.429,.857,.000,0.0,19.6,9.5,23.2,0.0,0.0,0.0,17.4,101,116,-4.1,ATL,202411180SAC
Clint Capela,28:28,6,9,.667,0,0,,2,4,.500,3,11,14,1,0,1,2,2,14,13.3,+14,.651,.667,.000,.444,12.0,46.4,28.8,5.8,0.0,4.3,15.7,20.5,114,106,-2.3,ATL,202411180SAC
David Roddy,7:24,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,5,3.4,-2,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,18.5,104,121,3.4,ATL,202411180SAC
De'Andre Hunter,24:34,9,15,.600,4,8,.500,2,2,1.000,1,1,2,1,0,1,1,3,24,17.3,+1,.756,.733,.533,.133,4.7,4.9,4.8,9.1,0.0,5.0,5.9,31.4,130,117,7.9,ATL,202411180SAC
Dyson Daniels,39:03,6,14,.429,2,5,.400,0,0,,1,7,8,4,0,4,2,3,14,11.8,-1,.500,.500,.357,.000,2.9,21.5,12.0,15.5,0.0,12.6,12.5,18.7,95,108,-2.0,ATL,202411180SAC
Garrison Mathews,28:29,3,6,.500,3,5,.600,0,0,,0,1,1,4,2,0,0,2,9,10.3,+17,.750,.750,.833,.000,0.0,4.2,2.1,19.9,3.4,0.0,0.0,9.6,150,111,4.7,ATL,202411180SAC
Jalen Johnson,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,202411180SAC
Keaton Wallace,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,202411180SAC
Kobe Bufkin,12:17,1,7,.143,1,5,.200,2,2,1.000,0,1,1,0,0,0,0,3,5,-0.4,-14,.317,.214,.714,.286,0.0,9.8,4.8,0.0,0.0,0.0,0.0,29.3,67,118,-22.5,ATL,202411180SAC
Larry Nance Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,202411180SAC
Onyeka Okongwu,19:32,3,5,.600,0,1,.000,1,1,1.000,0,2,2,0,1,0,0,1,7,5.9,-13,.643,.600,.200,.200,0.0,12.3,6.0,0.0,2.5,0.0,0.0,12.7,122,111,-4.4,ATL,202411180SAC
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,ATL,202411180SAC
Team Totals,240,39,83,.470,16,38,.421,15,18,.833,6,31,37,34,7,7,14,19,109,,,.599,.566,.458,.217,14.3,77.5,45.1,87.2,7.2,17.9,13.3,100.0,111.5,110.5,,ATL,202411180SAC
Trae Young,35:43,1,7,.143,0,2,.000,5,5,1.000,0,3,3,19,2,0,5,1,7,13.3,+15,.380,.143,.286,.714,0.0,10.1,4.9,67.8,2.7,0.0,35.2,18.2,108,112,-2.8,ATL,202411180SAC
Zaccharie Risacher,26:06,6,11,.545,3,5,.600,3,4,.750,1,2,3,2,2,1,3,3,18,13.5,-3,.705,.682,.455,.364,4.4,9.2,6.7,13.2,3.8,4.7,19.0,27.6,108,106,3.8,ATL,202411180SAC
Alex Len,17:10,1,2,.500,0,1,.000,0,0,,1,2,3,1,0,3,1,2,2,3.3,-5,.500,.500,.500,.000,7.0,13.3,10.2,8.2,0.0,18.6,33.3,7.6,95,103,-2.8,SAC,202411180SAC
Colby Jones,2:55,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,0,0,0,1.3,+7,.000,.000,.000,.000,41.1,78.4,60.2,44.5,0.0,0.0,0.0,14.9,104,108,2.4,SAC,202411180SAC
De'Aaron Fox,39:05,11,23,.478,3,6,.500,3,4,.750,0,5,5,7,1,0,4,2,28,18.5,+2,.565,.543,.261,.174,0.0,14.6,7.5,36.6,1.3,0.0,13.9,32.0,110,115,-0.9,SAC,202411180SAC
Doug McDermott,18:54,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,0,1,3,8,5.2,+15,1.000,1.000,.750,.000,0.0,6.0,3.1,8.6,0.0,0.0,20.0,11.5,143,119,-0.9,SAC,202411180SAC
Isaac Jones,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.0,+3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.7,0,120,-48.2,SAC,202411180SAC
Jordan McLaughlin,19:46,2,3,.667,1,1,1.000,3,4,.750,0,2,2,4,0,0,0,0,8,9.7,+8,.840,.833,.333,1.333,0.0,11.6,5.9,30.2,0.0,0.0,0.0,10.5,191,118,5.1,SAC,202411180SAC
Keegan Murray,22:28,3,9,.333,1,3,.333,0,0,,1,6,7,1,2,0,4,6,7,0.7,-20,.389,.389,.333,.000,5.3,30.5,18.2,7.0,4.4,0.0,30.8,25.2,61,105,-15.2,SAC,202411180SAC
Keon Ellis,33:05,9,17,.529,9,15,.600,6,7,.857,2,4,6,1,1,1,1,1,33,27.9,+15,.822,.794,.882,.412,7.3,13.8,10.6,6.1,1.5,3.2,4.7,27.7,154,112,17.5,SAC,202411180SAC
Kevin Huerter,39:12,4,15,.267,1,10,.100,0,0,,0,5,5,3,3,0,2,3,9,3.5,-15,.300,.300,.667,.000,0.0,14.6,7.5,11.4,3.8,0.0,11.8,18.9,68,109,-10.4,SAC,202411180SAC
Mason Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAC,202411180SAC
Orlando Robinson,7:19,0,0,,0,0,,1,2,.500,0,3,3,1,1,0,2,1,1,0.8,-11,.568,,,,0.0,46.9,24.0,17.7,6.7,0.0,69.4,17.1,53,97,-6.9,SAC,202411180SAC
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,SAC,202411180SAC
Team Totals,240,37,85,.435,20,46,.435,14,19,.737,9,36,45,24,9,4,17,20,108,,,.578,.553,.541,.224,22.5,85.7,54.9,64.9,9.2,8.9,15.4,100.0,110.5,111.5,,SAC,202411180SAC
Trey Lyles,37:40,4,11,.364,3,7,.429,1,2,.500,4,6,10,4,1,0,0,2,12,13.1,-4,.505,.500,.636,.182,12.7,18.2,15.5,16.0,1.3,0.0,0.0,13.7,132,114,1.1,SAC,202411180SAC
Andrew Wiggins,28:55,7,12,.583,2,4,.500,6,8,.750,2,1,3,0,0,1,1,0,22,17.0,-5,.709,.667,.333,.667,6.9,4.0,5.6,0.0,0.0,3.5,6.1,24.6,133,106,5.8,GSW,202411180LAC
Brandin Podziemski,15:37,0,4,.000,0,2,.000,1,3,.333,2,3,5,2,1,0,1,1,1,0.7,+2,.094,.000,.500,.750,12.8,22.5,17.3,16.6,3.0,0.0,15.8,17.4,55,99,-10.4,GSW,202411180LAC
Buddy Hield,23:22,3,7,.429,2,6,.333,0,0,,0,2,2,1,1,0,2,2,8,3.8,+5,.571,.571,.857,.000,0.0,10.0,4.6,6.7,2.0,0.0,22.2,16.6,84,103,-5.0,GSW,202411180LAC
Draymond Green,32:18,3,7,.429,2,3,.667,1,2,.500,1,8,9,7,1,1,6,3,9,7.4,-3,.571,.571,.429,.286,3.1,29.0,15.0,32.0,1.5,3.1,43.2,18.5,84,99,-1.6,GSW,202411180LAC
Gary Payton II,11:45,0,4,.000,0,2,.000,0,0,,1,3,4,2,1,0,0,1,0,0.8,+3,.000,.000,.500,.000,8.5,29.9,18.4,22.1,4.0,0.0,0.0,14.7,48,96,-7.7,GSW,202411180LAC
Gui Santos,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSW,202411180LAC
Jonathan Kuminga,19:05,5,10,.500,1,3,.333,1,4,.250,0,2,2,3,3,0,1,0,12,10.5,+2,.510,.550,.300,.400,0.0,12.3,5.7,30.9,7.4,0.0,7.8,28.8,99,90,9.0,GSW,202411180LAC
Kyle Anderson,12:30,1,4,.250,0,2,.000,0,0,,0,2,2,2,1,0,0,2,2,1.8,-2,.250,.250,.500,.000,0.0,18.7,8.6,23.2,3.8,0.0,0.0,13.8,79,98,-4.8,GSW,202411180LAC
Lindy Waters III,28:30,2,6,.333,2,4,.500,0,0,,1,4,5,1,3,0,0,1,6,7.8,-4,.500,.500,.667,.000,3.5,16.4,9.5,5.0,4.9,0.0,0.0,9.1,111,95,2.5,GSW,202411180LAC
Moses Moody,15:55,2,4,.500,1,3,.333,0,0,,0,3,3,1,0,0,3,2,5,0.8,+3,.625,.625,.750,.000,0.0,22.1,10.2,9.7,0.0,0.0,42.9,19.0,66,106,-11.3,GSW,202411180LAC
Quinten Post,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSW,202411180LAC
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GSW,202411180LAC
Stephen Curry,32:23,10,21,.476,6,15,.400,0,0,,1,6,7,6,0,1,3,1,26,19.3,-5,.619,.619,.714,.000,3.1,21.7,11.7,40.1,0.0,3.1,12.5,31.9,111,104,9.1,GSW,202411180LAC
Team Totals,240,37,84,.440,16,44,.364,9,19,.474,9,36,45,27,12,4,19,14,99,,,.536,.536,.524,.226,18.8,87.8,50.6,73.0,11.8,8.3,17.1,100.0,96.9,99.9,,GSW,202411180LAC
Trayce Jackson-Davis,19:40,4,5,.800,0,0,,0,2,.000,1,2,3,2,1,1,2,1,8,7.3,-11,.680,.800,.000,.400,5.1,11.9,8.2,17.9,2.4,5.1,25.4,17.3,101,98,1.8,GSW,202411180LAC
Amir Coffey,29:07,3,8,.375,2,6,.333,7,8,.875,2,3,5,1,0,1,2,4,15,10.3,-3,.651,.500,.750,1.000,8.0,10.3,9.3,5.5,0.0,4.1,14.8,20.3,118,101,-1.6,LAC,202411180LAC
Bones Hyland,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC,202411180LAC
Cam Christie,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC,202411180LAC
Derrick Jones Jr.,22:39,2,4,.500,1,2,.500,2,2,1.000,1,2,3,0,0,0,0,0,7,6.3,-5,.717,.625,.500,.500,5.2,8.8,7.1,0.0,0.0,0.0,0.0,9.4,145,106,-1.3,LAC,202411180LAC
Ivica Zubac,36:27,3,8,.375,0,0,,2,2,1.000,1,16,17,4,2,1,1,1,8,13.2,+21,.450,.375,.000,.250,3.2,43.9,25.2,17.0,2.6,3.3,10.1,11.8,103,89,2.1,LAC,202411180LAC
James Harden,40:41,4,15,.267,2,6,.333,2,2,1.000,0,6,6,16,2,2,3,2,12,15.7,-4,.378,.333,.400,.133,0.0,14.7,8.0,62.3,2.3,5.9,15.9,20.3,101,95,3.5,LAC,202411180LAC
Jordan Miller,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC,202411180LAC
Kai Jones,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC,202411180LAC
Kevin Porter Jr.,15:56,3,9,.333,0,0,,2,2,1.000,0,0,0,1,0,2,3,0,8,2.0,-4,.405,.333,.000,.222,0.0,0.0,0.0,11.6,0.0,15.1,23.3,35.3,64,100,-11.4,LAC,202411180LAC
Kobe Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC,202411180LAC
Kris Dunn,18:53,3,6,.500,1,3,.333,0,0,,0,2,2,1,1,0,3,3,7,2.1,+6,.583,.583,.500,.000,0.0,10.6,5.7,9.3,2.5,0.0,33.3,20.8,69,97,-8.7,LAC,202411180LAC
Mo Bamba,7:21,1,1,1.000,0,0,,1,2,.500,0,2,2,0,2,0,0,1,3,4.5,-13,.798,1.000,.000,2.000,0.0,27.2,14.7,0.0,12.8,0.0,0.0,11.2,153,69,11.9,LAC,202411180LAC
Nicolas Batum,20:24,3,6,.500,3,5,.600,0,0,,0,3,3,0,0,0,1,0,9,5.9,+4,.750,.750,.833,.000,0.0,14.7,7.9,0.0,0.0,0.0,14.3,15.0,101,105,0.5,LAC,202411180LAC
Norman Powell,25:43,9,15,.600,5,6,.833,0,0,,0,1,1,0,1,0,4,0,23,13.4,+3,.767,.767,.400,.000,0.0,3.9,2.1,0.0,1.8,0.0,21.1,32.3,95,103,4.8,LAC,202411180LAC
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,LAC,202411180LAC
Team Totals,240,35,82,.427,16,34,.471,16,18,.889,5,39,44,29,10,6,20,13,102,,,.567,.524,.415,.220,12.2,81.3,49.4,82.9,9.8,15.0,18.2,100.0,99.9,96.9,,LAC,202411180LAC
Terance Mann,22:49,4,10,.400,2,6,.333,0,0,,1,4,5,6,2,0,0,2,10,11.9,+10,.500,.500,.600,.000,5.1,17.5,11.8,47.5,4.1,0.0,0.0,19.1,122,93,9.9,LAC,202411180LAC
Craig Porter Jr.,25:24,6,8,.750,3,3,1.000,0,0,,0,3,3,3,0,0,0,1,15,14.4,+12,.938,.938,.375,.000,0.0,14.9,6.8,16.4,0.0,0.0,0.0,14.1,185,131,11.1,CLE,202411190BOS
Darius Garland,31:04,3,21,.143,0,6,.000,2,2,1.000,0,2,2,7,1,1,2,0,8,-0.3,-9,.183,.143,.286,.095,0.0,8.1,3.7,26.1,1.6,3.4,8.4,34.3,58,127,-17.7,CLE,202411190BOS
Donovan Mitchell,40:09,13,29,.448,3,11,.273,6,8,.750,1,7,8,3,0,0,1,4,35,21.4,-14,.538,.500,.379,.276,2.7,22.0,11.5,11.8,0.0,0.0,3.0,37.3,114,130,-0.9,CLE,202411190BOS
Evan Mobley,38:01,8,13,.615,1,3,.333,5,5,1.000,6,5,11,6,1,1,3,1,22,24.3,-5,.724,.654,.231,.385,16.8,16.6,16.7,21.1,1.3,2.8,16.5,21.4,140,126,9.5,CLE,202411190BOS
Georges Niang,29:37,5,8,.625,1,3,.333,0,0,,2,2,4,3,0,0,0,4,11,9.9,+15,.688,.688,.375,.000,7.2,8.5,7.8,12.8,0.0,0.0,0.0,12.1,154,133,1.2,CLE,202411190BOS
JT Thor,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,202411190BOS
Jarrett Allen,28:19,5,6,.833,0,0,,0,0,,3,8,11,2,1,0,0,1,10,14.3,-16,.833,.833,.000,.000,11.3,35.7,22.5,9.0,1.8,0.0,0.0,9.5,181,122,6.5,CLE,202411190BOS
Jaylon Tyson,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,202411190BOS
Luke Travers,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,202411190BOS
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,CLE,202411190BOS
Sam Merrill,19:02,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,1,0,1,6,6.0,-10,1.000,1.000,1.000,.000,0.0,6.6,3.0,6.2,0.0,5.6,0.0,7.0,192,129,5.8,CLE,202411190BOS
Team Totals,240,46,93,.495,10,29,.345,15,17,.882,12,29,41,30,4,3,7,15,117,,,.582,.548,.312,.183,26.7,76.3,49.4,65.2,4.3,6.7,6.5,100.0,124.9,128.1,,CLE,202411190BOS
Tristan Thompson,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,202411190BOS
Ty Jerome,28:24,4,5,.800,0,0,,2,2,1.000,0,1,1,5,1,0,1,3,10,10.7,+12,.850,.800,.000,.400,0.0,4.4,2.0,21.5,1.8,0.0,14.5,10.8,157,129,1.2,CLE,202411190BOS
Al Horford,31:36,7,11,.636,4,5,.800,2,2,1.000,2,5,7,1,0,3,0,3,20,19.6,+18,.842,.818,.455,.182,8.0,16.9,12.8,4.6,0.0,7.1,0.0,17.2,170,122,11.6,BOS,202411190BOS
Baylor Scheierman,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,202411190BOS
Derrick White,42:21,7,12,.583,4,7,.571,1,1,1.000,2,4,6,5,0,1,1,1,19,18.8,+17,.764,.750,.583,.083,6.0,10.1,8.2,15.7,0.0,1.8,7.4,14.5,154,128,5.5,BOS,202411190BOS
Jaden Springer,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,202411190BOS
Jaylen Brown,37:21,7,17,.412,2,7,.286,1,2,.500,0,3,3,8,1,0,4,5,17,9.0,+17,.475,.471,.412,.118,0.0,8.6,4.6,29.4,1.4,0.0,18.3,26.7,99,127,-7.2,BOS,202411190BOS
Jayson Tatum,37:38,11,22,.500,6,10,.600,5,7,.714,0,12,12,7,2,0,4,3,33,26.5,+2,.658,.636,.455,.318,0.0,34.0,18.4,29.8,2.7,0.0,13.8,35.3,122,116,9.6,BOS,202411190BOS
Jordan Walsh,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,202411190BOS
Jrue Holiday,27:56,4,7,.571,3,4,.750,0,0,,1,4,5,4,0,0,1,2,11,10.6,+3,.786,.786,.571,.000,4.5,15.3,10.4,18.5,0.0,0.0,12.5,13.1,150,128,3.7,BOS,202411190BOS
Luke Kornet,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,202411190BOS
Neemias Queta,16:24,2,5,.400,0,0,,1,2,.500,3,1,4,2,0,0,3,3,5,1.5,-15,.425,.400,.000,.400,23.1,6.5,14.1,15.3,0.0,0.0,33.8,24.7,89,130,-14.9,BOS,202411190BOS
Payton Pritchard,25:43,5,9,.556,3,6,.500,0,0,,1,1,2,3,1,0,0,2,13,12.0,-14,.722,.722,.667,.000,4.9,4.1,4.5,16.2,2.0,0.0,0.0,16.0,156,127,6.0,BOS,202411190BOS
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,BOS,202411190BOS
Sam Hauser,21:01,1,3,.333,0,2,.000,0,0,,0,3,3,2,0,0,0,0,2,2.6,-13,.333,.333,.667,.000,0.0,15.2,8.3,10.9,0.0,0.0,0.0,6.5,109,128,-4.7,BOS,202411190BOS
Team Totals,240,44,86,.512,22,41,.537,10,14,.714,9,33,42,32,4,4,13,19,120,,,.651,.640,.477,.163,23.7,73.3,50.6,72.7,4.3,6.3,12.4,100.0,128.1,124.9,,BOS,202411190BOS
Xavier Tillman Sr.,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,202411190BOS
Brandon Miller,38:28,11,17,.647,5,9,.556,2,2,1.000,1,2,3,4,3,1,3,3,29,25.1,-4,.811,.794,.529,.118,3.2,6.1,4.7,20.6,3.8,2.8,14.4,22.7,143,116,10.0,CHO,202411190BRK
Cody Martin,24:38,1,4,.250,1,1,1.000,1,2,.500,2,4,6,2,2,1,2,2,4,5.1,+11,.410,.375,.250,.500,10.0,19.0,14.6,10.8,4.0,4.4,29.1,11.7,91,112,-2.8,CHO,202411190BRK
Grant Williams,33:22,5,8,.625,0,0,,6,6,1.000,4,3,7,4,0,3,3,1,16,17.6,-12,.752,.625,.000,.750,14.8,10.5,12.6,18.7,0.0,9.8,22.0,17.1,141,120,4.1,CHO,202411190BRK
Josh Green,25:56,1,4,.250,1,2,.500,0,0,,1,3,4,1,0,0,3,2,3,-0.9,-11,.375,.375,.500,.000,4.7,13.5,9.3,5.1,0.0,0.0,42.9,11.3,60,125,-13.9,CHO,202411190BRK
LaMelo Ball,23:57,3,13,.231,3,8,.375,3,3,1.000,1,1,2,5,1,0,4,4,12,4.0,-10,.419,.346,.615,.231,5.1,4.9,5.0,31.3,2.1,0.0,21.8,32.0,93,122,-12.5,CHO,202411190BRK
Miles Bridges,33:18,8,14,.571,5,9,.556,0,0,,0,3,3,2,0,0,1,1,21,15.3,-15,.750,.750,.643,.000,0.0,10.5,5.4,10.9,0.0,0.0,6.7,18.9,144,126,2.6,CHO,202411190BRK
Moussa Diabaté,15:38,0,2,.000,0,0,,0,0,,2,5,7,0,0,1,0,1,0,1.8,+8,.000,.000,.000,.000,15.7,37.4,26.9,0.0,0.0,7.0,0.0,5.4,67,115,-9.0,CHO,202411190BRK
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,CHO,202411190BRK
Seth Curry,4:38,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+4,.000,.000,1.000,.000,0.0,25.3,12.9,0.0,0.0,0.0,0.0,9.0,0,122,-17.7,CHO,202411190BRK
Taj Gibson,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHO,202411190BRK
Team Totals,240,38,82,.463,20,37,.541,19,22,.864,13,31,44,25,6,8,23,20,115,,,.627,.585,.451,.268,33.3,75.6,55.0,65.8,6.2,18.2,20.1,100.0,118.3,119.3,,CHO,202411190BRK
Tidjane Salaün,14:32,2,2,1.000,1,1,1.000,6,7,.857,0,8,8,1,0,2,1,3,11,12.3,+17,1.083,1.250,.500,3.500,0.0,64.4,33.0,10.5,0.0,15.0,16.4,17.5,180,103,15.6,CHO,202411190BRK
Tre Mann,25:33,7,17,.412,4,6,.667,1,2,.500,2,1,3,6,0,0,4,3,19,10.2,+7,.531,.529,.353,.118,9.6,4.6,7.0,45.4,0.0,0.0,18.3,35.8,109,127,-5.0,CHO,202411190BRK
Vasilije Micić,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHO,202411190BRK
Ben Simmons,25:48,5,8,.625,0,0,,0,0,,4,5,9,5,2,1,3,2,10,13.1,+14,.625,.625,.000,.000,18.2,23.9,20.9,28.4,3.8,4.1,27.3,18.9,120,109,2.2,BRK,202411190BRK
Cam Thomas,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,202411190BRK
Cameron Johnson,38:05,11,20,.550,6,12,.500,6,6,1.000,1,4,5,4,1,2,5,2,34,25.7,+18,.751,.700,.600,.300,3.1,12.9,7.9,17.9,1.3,5.6,18.1,32.1,123,119,6.1,BRK,202411190BRK
Dennis Schröder,35:54,5,12,.417,1,5,.200,3,5,.600,0,5,5,12,1,2,1,3,14,16.9,-3,.493,.458,.417,.417,0.0,17.1,8.4,45.4,1.4,5.9,6.6,18.8,131,117,0.4,BRK,202411190BRK
Dorian Finney-Smith,27:16,5,6,.833,4,5,.800,1,2,.500,1,2,3,3,1,0,1,3,15,14.6,+17,1.090,1.167,.833,.333,4.3,9.0,6.6,15.9,1.8,0.0,12.7,12.8,174,121,8.2,BRK,202411190BRK
Jalen Wilson,34:16,6,13,.462,5,8,.625,0,0,,1,0,1,0,1,0,2,3,17,8.8,+6,.654,.654,.615,.000,3.4,0.0,1.8,0.0,1.4,0.0,13.3,19.4,106,125,-6.0,BRK,202411190BRK
Keon Johnson,10:21,0,3,.000,0,2,.000,0,0,,1,2,3,1,0,0,1,2,0,-1.9,-16,.000,.000,.667,.000,11.3,23.8,17.4,11.0,0.0,0.0,25.0,17.1,39,120,-24.7,BRK,202411190BRK
Noah Clowney,13:31,2,7,.286,1,4,.250,0,0,,1,2,3,0,0,0,0,1,5,1.8,-14,.357,.357,.571,.000,8.7,18.2,13.3,0.0,0.0,0.0,0.0,22.9,84,122,-16.0,BRK,202411190BRK
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,BRK,202411190BRK
Shake Milton,18:21,3,5,.600,1,2,.500,0,1,.000,1,0,1,3,0,0,0,0,7,7.1,-9,.643,.700,.400,.200,6.4,0.0,3.3,23.0,0.0,0.0,0.0,13.1,150,129,-1.0,BRK,202411190BRK
Team Totals,240,42,85,.494,18,41,.439,14,19,.737,10,26,36,31,8,8,15,19,116,,,.621,.600,.482,.224,24.4,66.7,45.0,73.8,8.2,17.8,13.8,100.0,119.3,118.3,,BRK,202411190BRK
Trendon Watford,19:03,3,6,.500,0,1,.000,4,5,.800,0,4,4,1,1,2,0,1,10,10.5,+8,.610,.500,.167,.833,0.0,25.8,12.6,7.3,2.6,11.2,0.0,19.1,135,108,2.7,BRK,202411190BRK
Tyrese Martin,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,202411190BRK
Ziaire Williams,17:25,2,5,.400,0,2,.000,0,0,,0,2,2,2,1,1,0,2,4,4.2,-16,.400,.400,.400,.000,0.0,14.1,6.9,15.1,2.8,6.1,0.0,12.7,105,114,-4.3,BRK,202411190BRK
Christian Braun,34:02,7,12,.583,0,2,.000,5,6,.833,2,5,7,2,3,0,2,4,19,16.7,+22,.649,.583,.167,.500,5.8,12.0,9.1,7.4,3.7,0.0,12.0,18.2,124,95,2.5,DEN,202411190MEM
Dario Šarić,18:20,2,6,.333,2,4,.500,2,2,1.000,0,5,5,1,2,0,3,5,8,3.8,+10,.581,.500,.667,.333,0.0,22.2,12.1,6.1,4.6,0.0,30.4,20.1,84,88,-3.6,DEN,202411190MEM
